name,nbhd,address,type,open_year,rooms
BEACON HILL HOTEL & BISTRO,BEACON HILL,25 CHARLES STREET,UPPER UPSCALE,2002,13
BEST WESTERN PLUS ROUNDHOUSE SUITES,SOUTH BOSTON,891 MASSACHUSETTS AVENUE,UPPER MIDSCALE,2001,92
BOSTON COMMON HOTEL,BACK BAY,40 TRINITY PLACE,MIDSCALE,1986,64
BOSTON HARBOR HOTEL,DOWNTOWN,70 ROWES WHARF,LUXURY,1987,230
BOSTON HOTEL BUCKMINSTER,FENWAY,645 BEACON STREET,ECONOMY,1897,94
BOSTON MARRIOTT COPLEY PLACE,BACK BAY,110 HUNTINGTON AVENUE,UPPER UPSCALE,1984,"1,144"
BOSTON MARRIOTT LONG WHARF,DOWNTOWN,296 STATE STREET,UPPER UPSCALE,1982,412
BOSTON PARK PLAZA HOTEL & TOWERS,BACK BAY,50 PARK PLAZA,UPPER UPSCALE,1927,"1,054"
CHANDLER INN,SOUTH END,26 CHANDLER STREET,UPPER MIDSCALE,1927,56
CHARLES RIVER MOTEL,BRIGHTON,1800 SOLDIERS FIELD ROAD,UNCLASSIFIED,1990,55
CHARLESMARK HOTEL,BACK BAY,655 BOYLSTON STREET,UPPER MIDSCALE,2002,40
CLUB QUARTERS BOSTON,DOWNTOWN,161 DEVONSHIRE STREET,UPPER UPSCALE,1997,178
COMFORT INN,DORCHESTER,900 WILLIAM T. MORRISSEY BOULEVARD,UPPER MIDSCALE,1985,132
CONSTITUTION INN,CHARLESTOWN,150 3RD AVENUE,UNCLASSIFIED,,147
COPLEY SQUARE HOTEL,BACK BAY,47 HUNTINGTON AVENUE,UPPER UPSCALE,1891,143
COURTYARD BOSTON COPLEY SQUARE,BACK BAY,88 EXETER STREET,UPSCALE,2004,81
COURTYARD BOSTON DOWNTOWN,DOWNTOWN,275 TREMONT STREET,UPSCALE,1925,315
COURTYARD BOSTON LOGAN AIRPORT,EAST BOSTON,225 WILLIAM F MCCLELLAN HIGHWAY,UPSCALE,1973,351
COURTYARD BOSTON-SOUTH BOSTON,DORCHESTER,63 BOSTON STREET,UPSCALE,2005,164
DAYS INN HOTEL FENWAY,BRIGHTON,1234 SOLDIERS FIELD ROAD,ECONOMY,1966,117
DOUBLETREE BY HILTON HOTEL BOSTON - DOWNTOWN,DOWNTOWN,821 WASHINGTON STREET,UPSCALE,2000,267
DOUBLETREE CLUB BY HILTON BAYSIDE,DORCHESTER,240 MOUNT VERNON STREET,UPPER MIDSCALE,1999,197
DOUBLETREE SUITES BY HILTON HOTEL BOSTON - CAMBRIDGE,ALLSTON,400 SOLDIERS FIELD ROAD,UPSCALE,1985,308
EMBASSY SUITES BOSTON AT LOGAN AIRPORT,EAST BOSTON,207 PORTER STREET,UPPER UPSCALE,2003,273
ENVISION HOTEL BOSTON,JAMAICA PLAIN,81 S HUNTINGTON AVENUE,UNCLASSIFIED,2012,39
FAIRMONT BATTERY WHARF,NORTH END,3 BATTERY WHARF,LUXURY,2008,150
FAIRMONT COPLEY PLAZA HOTEL,BACK BAY,138 STREET JAMES AVENUE,LUXURY,1912,383
FOUR SEASONS HOTEL BOSTON,DOWNTOWN,200 BOYLSTON STREET,LUXURY,1985,273
HAMPTON INN AND SUITES BOSTON CROSSTOWN,ROXBURY,811 MASSACHUSETTS AVENUE,UPPER MIDSCALE,2004,175
HARBORSIDE INN,DOWNTOWN,185 STATE STREET,UPPER MIDSCALE,1997,54
HILTON BOSTON BACK BAY,BACK BAY,40 DALTON STREET,UPPER UPSCALE,1982,390
HILTON BOSTON DOWNTOWN/FANEUIL HALL,DOWNTOWN,89 BROAD STREET,UPPER UPSCALE,1999,362
HILTON BOSTON LOGAN AIRPORT,EAST BOSTON,1 HOTEL DRIVE,UPPER UPSCALE,1999,599
HOLIDAY INN EXPRESS BOSTON,DORCHESTER,69 BOSTON STREET,UPPER MIDSCALE,1965,118
HOLIDAY INN EXPRESS BOSTON GARDEN,WEST END,280 FRIEND STREET,UPPER MIDSCALE,1995,72
HOSTELLING INTERNATIONAL BOSTON,DOWNTOWN,19 STUART STREET,UNCLASSIFIED,2012,99
HOTEL 140,BACK BAY,140 CLARENDON STREET,UPPER MIDSCALE,2005,65
HOTEL COMMONWEALTH,FENWAY,500 COMMONWEALTH AVENUE,LUXURY,2003,149
HYATT BOSTON HARBOR,EAST BOSTON,101 HARBORSIDE DRIVE,UPPER UPSCALE,1993,270
HYATT REGENCY BOSTON,DOWNTOWN,1 AVENUE DE LAFAYETTE,UPPER UPSCALE,1985,502
INTERCONTINENTAL BOSTON,DOWNTOWN,510 ATLANTIC AVENUE,LUXURY,2006,424
LOEWS BOSTON HOTEL,BACK BAY,350 STUART STREET,LUXURY,2004,225
MANDARIN ORIENTAL BOSTON,BACK BAY,776 BOYLSTON STREET,LUXURY,2008,148
MILLENNIUM BOSTONIAN HOTEL BOSTON,DOWNTOWN,26 NORTH STREET,UPPER UPSCALE,1983,201
NEWBURY GUEST HOUSE,BACK BAY,261 NEWBURY STREET,UPPER MIDSCALE,1991,32
"NINE ZERO HOTEL, A KIMPTON HOTEL",DOWNTOWN,90 TREMONT STREET,UPPER UPSCALE,2002,190
OMNI PARKER HOUSE,DOWNTOWN,60 SCHOOL STREET,UPPER UPSCALE,1855,551
ONYX HOTEL,WEST END,155 PORTLAND STREET,UPPER UPSCALE,2004,112
RAMADA BOSTON,DORCHESTER,800 WILLIAM T. MORRISSEY BOULEVARD,MIDSCALE,1999,167
RENAISSANCE BOSTON WATERFRONT HOTEL,SOUTH BOSTON WATERFRONT,606 CONGRESS STREET,UPPER UPSCALE,2008,471
RESIDENCE INN BOSTON BACK BAY/ FENWAY,FENWAY,125 BROOKLINE AVENUE,UPSCALE,2013,175
RESIDENCE INN BOSTON DOWNTOWN/ SEAPORT,SOUTH BOSTON WATERFRONT,370 CONGRESS STREET,UPSCALE,2013,120
RESIDENCE INN BOSTON HARBOR ON TUDOR WHARF,CHARLESTOWN,34 CHARLES RIVER AVENUE,UPSCALE,2003,168
REVERE HOTEL BOSTON COMMON,BAY VILLAGE,200 STUART STREET,UPPER UPSCALE,1941,356
SEAPORT BOSTON HOTEL,SOUTH BOSTON WATERFRONT,1 SEAPORT LANE,UPPER UPSCALE,1998,428
SHERATON BOSTON HOTEL,BACK BAY,39 DALTON STREET,UPPER UPSCALE,1965,"1,220"
TAJ BOSTON,BACK BAY,15 ARLINGTON STREET,LUXURY,1927,273
THE AMES HOTEL,DOWNTOWN,1 COURT STREET,UPPER UPSCALE,2009,114
THE BOXER BOSTON,WEST END,107 MERRIMAC STREET,UPPER UPSCALE,2004,79
THE COLONNADE BOSTON HOTEL,BACK BAY,120 HUNTINGTON AVENUE,UPPER UPSCALE,1972,285
THE ELIOT HOTEL,BACK BAY,370 COMMONWEALTH AVENUE,UPPER UPSCALE,1929,95
THE INN AT LONGWOOD MEDICAL,LONGWOOD MEDICAL AREA,342 LONGWOOD AVENUE,UPPER UPSCALE,1968,155
THE INN AT ST. BOTOLPH,BACK BAY,99 SAINT BOTOLPH STREET,UPPER MIDSCALE,2008,16
THE LANGHAM BOSTON,DOWNTOWN,250 FRANKLIN STREET,LUXURY,1981,318
THE LENOX HOTEL,BACK BAY,61 EXETER STREET,UPPER UPSCALE,1900,214
THE LIBERTY HOTEL,WEST END,215 CHARLES STREET,LUXURY,2007,298
THE MIDTOWN HOTEL,BACK BAY,220 HUNTINGTON AVENUE,UPPER MIDSCALE,1961,159
"THE RITZ-CARLTON, BOSTON COMMON",DOWNTOWN,10 AVERY STREET,LUXURY,2001,193
THE WESTIN BOSTON WATERFRONT,SOUTH BOSTON WATERFRONT,425 SUMMER STREET,UPPER UPSCALE,2006,793
THE WESTIN COPLEY PLACE,BACK BAY,10 HUNTINGTON AVENUE,UPPER UPSCALE,1984,803
W BOSTON HOTEL AND RESIDENCES,DOWNTOWN,100 STUART STREET,LUXURY,2009,235
WYNDHAM BOSTON BEACON HILL,WEST END,5 BLOSSOM STREET,UPPER UPSCALE,1968,304
XV BEACON HOTEL,DOWNTOWN,15 BEACON STREET,LUXURY,1999,63
40 Berkeley,South End,40 Berkeley St,Lodging House/Motel,,100
Abercrombie's Farrington Inn,Allston,23 Farrington Ave,Lodging House/Motel,,50
Best Western University Hotel Brighton,Brighton,1650 Commonwealth Ave,Lodging House/Motel,,74
Boston Yacht Haven,Downtown,87 Commercial Wharf,Lodging House/Motel,,10
Chandler Studios Boston,South End,54 Berkeley St,Lodging House/Motel,,12
Commonwealth Court Guest House,Back Bay,284 Commonwealth Ave,Lodging House/Motel,,17
Copley House,Back Bay,239 W Newton St,Lodging House/Motel,,39
Friend Street Hostel,West End,234 Friend St,Lodging House/Motel,,48
International Guest House,Back Bay,237 Beacon St,Lodging House/Motel,,
Mariners House,North End,11 North Sq,Lodging House/Motel,,
Marriott's Custom House,Downtown,3 McKinley Sq,Lodging House/Motel,,84
Milner Hotel,Beacon Hill,78 Charles St,Lodging House/Motel,,64
Oasis Guest House,Fenway,22 Edgerly Rd,Lodging House/Motel,,16
The College Club of Boston,Back Bay,44 Commonwealth Ave,Lodging House/Motel,,11
The Copley Inn,Back Bay,19 Garrison St,Lodging House/Motel,,20
Adams Bed & Breakfast,Fenway,"14 Edgerly Rd,",Bed and Breakfast,,
Aisling Bed and Breakfast,South End,21 East Concord St,Bed and Breakfast,,3
Beacon Hill Bed and Breakfast,Beacon Hill,27 Brimmer St,Bed and Breakfast,,2
Bunker Hill Bed And Breakfast,Charlestown,80 Elm St,Bed and Breakfast,,2
Clarendon Square Bed and Breakfast,South End,198 W. Brookline St,Bed and Breakfast,,3
Constitution Marina's Bed & Breakfast Afloat,Charlestown,28 Constitution Road,Bed and Breakfast,,8
Encore Bed and Breakfast,South End,116 W Newton St,Bed and Breakfast,,4
Green Turtle Inn,Charlestown,Pier 8 13th St,Bed and Breakfast,,6
John Jeffries House,Beacon Hill,14 David G Mugar Way,Bed and Breakfast,,46
La Cappella Suites,North End,290 North St,Bed and Breakfast,,4
Nolan House,South Boston,10 G Street,Bed and Breakfast,,3
Rutland Square House,South End,56 Rutland Square,Bed and Breakfast,,3
Taylor House,Jamaica Plain,50 Burroughs St,Bed and Breakfast,,3
The Gilded Lily,Back Bay,4 Claremont Park,Bed and Breakfast,,3
The Gryphon House,Fenway,9 Bay State Rd,Bed and Breakfast,,8
The Herbert Carruth House,Dorchester,30 Beaumont St,Bed and Breakfast,,4
Yun's Place,Allston,66 Hopedale Street,Bed and Breakfast,,2
