,route_id,parent_station,ppsqft,tot_pop
0,Blue,place-aport,0.016687827121598192,9446.0
1,Blue,place-aqucl,0.01593856745109151,4360.0
2,Blue,place-bmmnl,0.008365790581607628,3871.0
3,Blue,place-bomnl,0.02310260127950727,14101.0
4,Blue,place-gover,0.026092369735882262,5859.0
5,Blue,place-mvbcl,0.013981446985641625,11031.0
6,Blue,place-orhte,0.008630497789595681,1904.0
7,Blue,place-rbmnl,0.009311832244082293,8891.0
8,Blue,place-sdmnl,0.003959005304982136,900.0
9,Blue,place-state,0.011689432304001204,2390.0
10,Blue,place-wimnl,0.010088452775908292,6648.0
11,Blue,place-wondl,0.004112292095099695,1104.0
12,Green,place-alsgr,0.015492146893475061,3351.0
13,Green,place-amory,0.014086532859873834,3079.0
14,Green,place-armnl,0.01362474779472311,8146.0
15,Green,place-babck,0.01123534971007768,3741.0
16,Green,place-balsq,0.008716867595851765,9710.0
17,Green,place-bckhl,0.011081168248470967,1355.0
18,Green,place-bcnfd,0.0032007973748223615,2506.0
19,Green,place-bcnwa,0.0050233011871226715,1057.0
20,Green,place-bland,0.017431336671450425,2965.0
21,Green,place-bndhl,0.024853299366696564,2406.0
22,Green,place-boyls,0.025212683790719795,8884.0
23,Green,place-brico,0.010404997018097982,4356.0
24,Green,place-brkhl,0.00660632620197105,4854.0
25,Green,place-brmnl,0.006948581768812734,2526.0
26,Green,place-bucen,0.002172617530832633,349.0
27,Green,place-buest,0.018454329024689214,2588.0
28,Green,place-bvmnl,0.007530822543734862,4449.0
29,Green,place-chhil,0.0005514057387684529,1082.0
30,Green,place-chill,0.015830144435709806,2555.0
31,Green,place-chswk,0.01096409560190956,2339.0
32,Green,place-coecl,0.014912689488590945,10268.0
33,Green,place-cool,0.01174447941061336,5372.0
34,Green,place-denrd,0.008129047242974662,1420.0
35,Green,place-eliot,0.0018244474897398245,1277.0
36,Green,place-engav,0.013308272281776338,3068.0
37,Green,place-esomr,0.006310839172356147,3578.0
38,Green,place-fbkst,0.007775443440013687,4836.0
39,Green,place-fenwd,0.019510067968605653,1348.0
40,Green,place-fenwy,0.02140068562800999,3166.0
41,Green,place-gilmn,0.011175797877079327,11162.0
42,Green,place-gover,0.003128118245183147,2771.0
43,Green,place-grigg,0.018022182569265514,3390.0
44,Green,place-haecl,0.02431203213135791,7283.0
45,Green,place-harvd,0.011095035920565028,4340.0
46,Green,place-hsmnl,0.006931319288998241,5409.0
47,Green,place-hwsst,0.00661193418975173,2986.0
48,Green,place-hymnl,0.02122462235191681,5566.0
49,Green,place-kencl,0.01552876113193262,5679.0
50,Green,place-lake,0.01033482067399324,5077.0
51,Green,place-lech,0.012457236082833733,7222.0
52,Green,place-lngmd,0.016550108948515288,6130.0
53,Green,place-longw,0.005661606759304768,1673.0
54,Green,place-mdftf,0.0064837990970538885,6768.0
55,Green,place-mfa,0.01268171111905983,4755.0
56,Green,place-mgngl,0.008623079269610598,9083.0
57,Green,place-mispk,0.017468407860377285,3023.0
58,Green,place-newtn,0.0036413602513801686,1293.0
59,Green,place-north,0.017231563428786092,4774.0
60,Green,place-nuniv,0.023890674823583823,12505.0
61,Green,place-pktrm,0.018403936368647386,6163.0
62,Green,place-prmnl,0.018137321348896562,7951.0
63,Green,place-rsmnl,0.004667060763994793,2798.0
64,Green,place-rvrwy,0.012753350914263368,300.0
65,Green,place-smary,0.020319987395432646,1388.0
66,Green,place-sougr,0.005441449420083421,2300.0
67,Green,place-spmnl,0.015471753168302174,5588.0
68,Green,place-sthld,0.013434024844685874,4224.0
69,Green,place-stpul,0.013614027641847624,4576.0
70,Green,place-sumav,0.01080102592639288,4062.0
71,Green,place-symcl,0.02085479307246052,10013.0
72,Green,place-unsqu,0.009637835383675589,11231.0
73,Green,place-waban,0.0015884906025554041,1090.0
74,Green,place-wascm,0.015180893044793411,2117.0
75,Green,place-wrnst,0.010824155122363927,6026.0
76,Mattapan,place-asmnl,0.009518751849488053,12303.0
77,Mattapan,place-butlr,0.0027977561177170997,1248.0
78,Mattapan,place-capst,0.0026108671435007714,1748.0
79,Mattapan,place-cedgr,0.00696938396311461,1812.0
80,Mattapan,place-cenav,0.003813906372608321,1692.0
81,Mattapan,place-matt,0.0060916196044617146,1934.0
82,Mattapan,place-miltt,0.0037630394669256103,513.0
83,Mattapan,place-valrd,0.0019890743626001877,868.0
84,Orange,place-astao,0.0022491333707253583,1864.0
85,Orange,place-bbsta,0.014794323363554303,16804.0
86,Orange,place-ccmnl,0.013986698438141008,10468.0
87,Orange,place-chncl,0.020672027571506317,3048.0
88,Orange,place-dwnxg,0.012541568620161753,4003.0
89,Orange,place-forhl,0.0063072775202787715,7444.0
90,Orange,place-grnst,0.0067181640305749085,10380.0
91,Orange,place-haecl,0.027242740298054534,7097.0
92,Orange,place-jaksn,0.012465270049846813,9344.0
93,Orange,place-masta,0.023370555288120112,21141.0
94,Orange,place-mlmnl,0.009526926782470888,6391.0
95,Orange,place-north,0.018444498866608292,9694.0
96,Orange,place-ogmnl,0.007212538298502602,5698.0
97,Orange,place-rcmnl,0.00935244306277531,10875.0
98,Orange,place-rugg,0.01639399852075871,11541.0
99,Orange,place-sbmnl,0.010584986281596312,7014.0
100,Orange,place-state,0.0035565486272478046,4249.0
101,Orange,place-sull,0.009424055774299282,4281.0
102,Orange,place-tumnl,0.015835669042930576,12453.0
103,Orange,place-welln,0.004188833417997546,4022.0
104,Red,place-alfcl,0.007782856016023072,7451.0
105,Red,place-andrw,0.011816389850465575,7599.0
106,Red,place-asmnl,0.00739266889300415,7838.0
107,Red,place-brdwy,0.010639207846780794,6724.0
108,Red,place-brntn,0.0010702155664246535,1258.0
109,Red,place-chmnl,0.023192114881255235,12093.0
110,Red,place-cntsq,0.012141591299697484,23153.0
111,Red,place-davis,0.008798944324457355,12157.0
112,Red,place-dwnxg,0.01806439988910139,7456.0
113,Red,place-fldcr,0.009280814703503743,12365.0
114,Red,place-harsq,0.012269812901378841,14813.0
115,Red,place-jfk,0.008746151858778252,6746.0
116,Red,place-knncl,0.005542256625866341,6051.0
117,Red,place-nqncy,0.0047182664520108745,3382.0
118,Red,place-pktrm,0.018935388934078333,5940.0
119,Red,place-portr,0.00975144652910043,14820.0
120,Red,place-qamnl,0.003711616228192505,2886.0
121,Red,place-qnctr,0.003609327811729239,3926.0
122,Red,place-shmnl,0.00663349274658472,4317.0
123,Red,place-smmnl,0.010402363276625338,11254.0
124,Red,place-sstat,0.00463367697475422,3365.0
125,Red,place-wlsta,0.004937608429238866,2169.0
